seed,control_population,agent_population,control_prosperity,agent_prosperity,control_hunger,agent_hunger,control_active_settlements,agent_active_settlements,control_closed_routes,agent_closed_routes,repairs,repair_failures,travel_attempts,travel_successes,jobs_accepted,jobs_completed,combats_initiated,combats_won,combats_lost,route_jobs_accepted,relief_jobs_accepted,jobs_resolved,jobs_expired,jobs_abandoned,jobs_unresolved,objective_loss,objective_pass
21,12548,12717,47,47,49,37,6,6,2,1,2,0,4648,517,3,2,0,0,0,3,0,0,1,0,2,50,0
22,12993,13170,46,48,35,43,6,6,0,1,2,0,3716,405,4,2,0,0,0,4,0,0,1,0,3,70,0
23,12768,12325,52,44,27,39,6,6,1,4,2,0,3831,488,8,2,0,0,0,8,0,0,2,0,6,140,0
24,12637,12600,42,42,38,38,6,6,1,2,2,0,4116,307,4,2,0,0,0,4,0,0,1,0,3,70,0
25,12841,12254,48,49,48,37,6,6,0,2,2,0,4460,408,10,2,0,0,0,10,0,0,2,0,8,180,0
26,12480,12724,43,45,38,43,6,6,1,1,2,0,3837,681,3,2,0,0,0,3,0,0,1,0,2,50,0
27,14215,13753,76,61,6,15,6,6,0,0,2,0,3050,616,3,2,0,0,0,3,0,0,1,0,2,50,0
28,13344,12863,48,48,29,30,6,6,1,2,2,0,5117,436,3,2,0,0,0,3,0,0,1,0,2,50,0
29,11365,11528,26,26,49,59,6,6,1,0,2,0,3373,264,4,2,0,0,0,4,0,0,1,0,3,70,0
30,12989,12725,45,48,36,32,6,6,2,1,2,0,5133,368,4,2,0,0,0,4,0,0,1,0,3,70,0
31,12429,12673,41,42,43,38,6,6,2,1,2,0,3892,550,5,2,0,0,0,5,0,0,1,0,4,90,0
32,12992,12694,49,45,40,36,6,6,0,0,2,0,3212,492,8,2,0,0,0,8,0,0,2,0,6,140,0
33,11951,11913,44,42,41,38,6,6,1,1,2,0,3419,298,3,2,0,0,0,3,0,0,1,0,2,50,0
34,13624,12509,43,42,37,49,6,6,2,6,2,0,3777,118,9,2,0,0,0,9,0,0,2,0,7,160,0
35,10953,10927,29,26,64,63,6,6,0,7,2,0,3595,350,10,2,0,0,0,10,0,0,2,0,8,180,0
36,13250,13116,46,44,34,28,6,6,1,3,2,0,4787,569,4,2,0,0,0,4,0,0,1,0,3,70,0
37,11304,11439,28,29,64,57,6,6,0,1,2,0,3528,274,5,2,0,0,0,5,0,0,1,0,4,90,0
38,12580,12860,39,44,44,39,6,6,6,5,2,0,3770,442,10,2,0,0,0,10,0,0,2,0,8,180,0
39,11566,11840,28,44,57,46,6,6,1,1,2,0,6102,373,10,2,0,0,0,10,0,0,2,0,8,180,0
40,11973,12044,44,44,37,46,6,6,1,0,2,0,3193,447,3,2,0,0,0,3,0,0,1,0,2,50,0
41,13237,13099,44,47,39,27,6,6,2,1,2,0,5018,591,4,2,0,0,0,4,0,0,1,0,3,70,0
42,12631,12747,46,46,42,44,6,6,1,0,2,0,3209,433,2,2,0,0,0,2,0,0,1,0,1,30,0
43,13408,13509,50,47,37,33,6,6,1,1,2,0,4865,503,3,2,0,0,0,3,0,0,1,0,2,50,0
44,11903,11876,46,46,47,49,6,6,1,1,2,0,3546,396,3,2,0,0,0,3,0,0,1,0,2,50,0
45,12433,12573,47,48,33,41,6,6,1,4,2,0,3156,542,5,2,0,0,0,5,0,0,1,0,4,90,0
46,13228,13246,47,48,33,24,6,6,2,1,2,0,3783,550,3,2,0,0,0,3,0,0,1,0,2,50,0
47,12513,12623,45,46,41,38,6,6,1,3,2,0,3484,272,4,2,0,0,0,4,0,0,1,0,3,70,0
48,12731,12794,43,38,38,44,6,6,2,5,2,0,3233,561,4,2,0,0,0,4,0,0,1,0,3,70,0
49,12157,11709,45,29,35,47,6,6,2,0,2,0,3251,383,3,2,0,0,0,3,0,0,1,0,2,50,0
50,11245,10965,26,28,59,63,6,6,3,3,2,0,4446,295,9,2,0,0,0,9,0,0,2,0,7,160,0
51,12968,13190,46,49,43,36,6,6,1,1,2,0,3973,620,4,2,0,0,0,4,0,0,1,0,3,70,0
52,13094,13626,46,48,42,48,6,6,0,0,2,0,3164,446,4,2,0,0,0,4,0,0,1,0,3,70,0
53,11442,11458,26,27,62,59,6,6,2,1,2,0,4221,279,4,2,0,0,0,4,0,0,1,0,3,70,0
54,11626,11523,27,27,54,54,6,6,2,5,1,0,3573,270,232,1,0,0,0,232,0,0,41,0,190,4210,0
55,12287,12425,46,45,48,44,6,6,0,1,2,0,3445,327,4,2,0,0,0,4,0,0,1,0,3,70,0
56,12409,12537,46,48,35,45,6,6,1,1,2,0,4015,358,5,2,0,0,0,5,0,0,1,0,4,90,0
57,12786,12258,57,46,12,36,6,6,0,4,2,0,3723,330,4,2,0,0,0,4,0,0,1,0,3,70,0
58,12634,12602,44,42,27,43,6,6,2,2,2,0,4149,496,3,2,0,0,0,3,0,0,1,0,2,50,0
59,12219,11944,45,46,38,39,6,6,1,0,2,0,3216,422,4,2,0,0,0,4,0,0,1,0,3,70,0
60,13172,13445,48,50,42,21,6,6,2,0,2,0,2950,686,4,2,0,0,0,4,0,0,1,0,3,70,0
61,12278,12081,44,46,42,48,6,6,2,0,2,0,3272,361,4,2,0,0,0,4,0,0,1,0,3,70,0
62,12498,12531,46,45,40,39,6,6,2,1,2,0,4916,507,5,2,0,0,0,5,0,0,1,0,4,90,0
63,13623,13845,47,47,24,30,6,6,3,1,2,0,3832,588,3,2,0,0,0,3,0,0,1,0,2,50,0
64,13239,13166,52,50,33,24,6,6,1,2,2,0,4884,534,8,2,0,0,0,8,0,0,2,0,6,140,0
65,13070,13154,47,59,24,17,6,6,1,0,2,0,3031,593,4,2,0,0,0,4,0,0,1,0,3,70,0
66,13081,12248,44,42,37,49,6,6,3,5,2,0,3180,40,3,2,0,0,0,3,0,0,1,0,2,50,0
67,11787,12062,29,28,60,57,6,6,4,0,2,0,3428,191,5,2,0,0,0,5,0,0,1,0,4,90,0
68,12713,12427,49,43,41,37,6,6,2,0,2,0,3152,486,3,2,0,0,0,3,0,0,1,0,2,50,0
69,12779,12945,43,47,40,35,6,6,1,3,2,0,5487,389,10,2,0,0,0,10,0,0,2,0,8,180,0
70,10820,11486,29,29,57,63,6,6,0,0,2,0,3653,285,10,2,0,0,0,10,0,0,2,0,8,180,0
71,12484,12649,46,49,44,37,6,6,1,1,2,0,3864,462,5,2,0,0,0,5,0,0,1,0,4,90,0
72,13530,13252,51,48,24,37,6,6,0,0,2,0,2981,639,4,2,0,0,0,4,0,0,1,0,3,70,0
73,11293,10853,27,29,58,60,6,6,7,2,2,0,4865,122,10,2,0,0,0,10,0,0,2,0,8,180,0
74,12751,12752,47,48,37,32,6,6,2,1,2,0,4933,675,4,2,0,0,0,4,0,0,1,0,3,70,0
75,12836,13584,41,48,42,47,6,6,5,0,1,0,3060,561,3,1,0,0,0,3,0,0,1,0,2,50,0
76,13241,12597,47,46,38,33,6,6,1,2,2,0,4332,439,3,2,0,0,0,3,0,0,1,0,2,50,0
77,11333,11925,26,42,63,37,6,6,3,1,2,0,3997,453,5,2,0,0,0,5,0,0,1,0,4,90,0
78,12646,12651,43,45,43,35,6,6,2,0,2,0,3190,456,5,2,0,0,0,5,0,0,1,0,4,90,0
79,12262,12415,46,46,35,39,6,6,1,1,2,0,3911,420,4,2,0,0,0,4,0,0,1,0,3,70,0
80,11602,10808,30,27,60,64,6,6,0,6,2,0,4111,217,10,2,0,0,0,10,0,0,2,0,8,180,0
81,11176,12291,27,27,59,55,6,6,2,1,2,0,3865,292,7,2,0,0,0,7,0,0,2,0,5,120,0
82,13088,12754,48,44,38,38,6,6,2,1,2,0,3242,475,3,2,0,0,0,3,0,0,1,0,2,50,0
83,11982,11985,44,46,40,43,6,6,2,0,2,0,3360,277,3,2,0,0,0,3,0,0,1,0,2,50,0
84,11767,11775,28,26,61,63,6,6,6,5,2,0,4290,315,8,2,0,0,0,8,0,0,2,0,6,140,0
85,13013,12797,48,46,42,37,6,6,0,0,1,0,3063,580,3,1,0,0,0,3,0,0,1,0,2,50,0
86,10965,10998,30,29,64,65,6,6,0,2,2,0,4879,199,5,2,0,0,0,5,0,0,1,0,4,90,0
87,12021,12378,46,45,36,39,6,6,1,2,2,0,4468,568,9,2,0,0,0,9,0,0,2,0,7,160,0
88,13117,12666,45,45,42,42,6,6,0,0,2,0,3233,406,5,2,0,0,0,5,0,0,1,0,4,90,0
89,13071,12308,48,46,39,38,6,6,1,0,1,0,3428,195,3,1,0,0,0,3,0,0,1,0,2,50,0
90,12795,13356,46,43,26,48,6,6,1,1,2,0,5092,579,3,2,0,0,0,3,0,0,1,0,2,50,0
91,13137,13154,48,42,37,40,6,6,0,4,2,0,3795,572,10,2,0,0,0,10,0,0,2,0,8,180,0
92,11888,11941,27,28,63,65,6,6,2,0,2,0,3378,258,4,2,0,0,0,4,0,0,1,0,3,70,0
93,11372,11554,30,26,55,66,6,6,0,3,2,0,5211,380,9,2,0,0,0,9,0,0,2,0,7,160,0
94,11451,11667,26,28,61,58,6,6,3,0,2,0,3376,255,5,2,0,0,0,5,0,0,1,0,4,90,0
95,12303,12371,46,47,46,32,6,6,1,1,2,0,4882,502,3,2,0,0,0,3,0,0,1,0,2,50,0
96,13660,13657,49,52,16,21,6,6,1,0,1,0,2937,684,5,1,0,0,0,5,0,0,1,0,4,90,0
97,11744,11993,44,46,39,39,6,6,1,2,2,0,4365,546,3,2,0,0,0,3,0,0,1,0,2,50,0
98,12658,12480,48,46,38,35,6,6,1,0,2,0,3192,434,5,2,0,0,0,5,0,0,1,0,4,90,0
99,12014,12296,26,26,64,55,6,6,3,2,2,0,3533,255,4,2,0,0,0,4,0,0,1,0,3,70,0
100,13125,12954,47,51,34,27,6,6,0,0,2,0,3176,438,4,2,0,0,0,4,0,0,1,0,3,70,0
101,12204,12141,46,53,42,13,6,6,3,1,2,0,3634,527,2,2,0,0,0,2,0,0,1,0,1,30,0
102,11952,11974,26,26,66,58,6,6,3,2,2,0,5605,282,5,2,0,0,0,5,0,0,1,0,4,90,0
103,12242,11717,38,26,50,62,6,6,2,4,2,0,4867,307,3,2,0,0,0,3,0,0,1,0,2,50,0
104,12064,11799,27,26,46,54,6,6,1,0,2,0,3444,184,4,2,0,0,0,4,0,0,1,0,3,70,0
105,12793,12682,46,35,34,40,6,6,1,5,2,0,5155,390,8,2,0,0,0,8,0,0,2,0,6,140,0
106,12987,12917,46,50,44,40,6,6,1,2,2,0,4237,381,9,2,0,0,0,9,0,0,2,0,7,160,0
107,13224,12772,48,46,32,40,6,6,1,1,2,0,3319,398,3,2,0,0,0,3,0,0,1,0,2,50,0
108,13485,13175,47,49,33,49,6,6,1,2,2,0,4015,374,8,2,0,0,0,8,0,0,2,0,6,140,0
109,13337,13199,48,46,32,36,6,6,1,0,2,0,3102,531,4,2,0,0,0,4,0,0,1,0,3,70,0
110,10687,10869,31,27,66,58,6,6,2,1,2,0,4210,235,5,2,0,0,0,5,0,0,1,0,4,90,0
111,12133,12251,27,39,60,49,6,6,2,2,2,0,4564,363,4,2,0,0,0,4,0,0,1,0,3,70,0
112,12063,12184,42,46,41,43,6,6,2,0,2,0,3162,474,3,2,0,0,0,3,0,0,1,0,2,50,0
113,10818,10792,27,26,57,56,6,6,3,3,2,0,4086,253,5,2,0,0,0,5,0,0,1,0,4,90,0
114,13179,12971,45,48,42,42,6,6,2,2,2,0,4113,506,10,2,0,0,0,10,0,0,2,0,8,180,0
115,12976,12947,46,47,46,36,6,6,1,0,2,0,3059,562,4,2,0,0,0,4,0,0,1,0,3,70,0
116,11664,12087,42,46,44,39,6,6,4,0,2,0,3234,404,4,2,0,0,0,4,0,0,1,0,3,70,0
117,11133,11215,27,27,58,56,6,6,2,5,2,0,5096,321,8,2,0,0,0,8,0,0,2,0,6,140,0
118,13159,13080,48,48,45,35,6,6,1,1,2,0,4521,461,5,2,0,0,0,5,0,0,1,0,4,90,0
119,11983,11847,48,46,32,35,6,6,1,0,2,0,3175,463,5,2,0,0,0,5,0,0,1,0,4,90,0
120,12250,11838,27,27,60,63,6,6,3,4,2,0,6237,234,5,2,0,0,0,5,0,0,1,0,4,90,0
121,11050,11047,27,27,66,65,6,6,4,6,2,0,4606,220,5,2,0,0,0,5,0,0,1,0,4,90,0
122,12464,12420,46,46,34,40,6,6,0,0,1,0,3251,392,3,1,0,0,0,3,0,0,1,0,2,50,0
123,12678,12629,45,46,40,37,6,6,1,0,2,0,3169,469,3,2,0,0,0,3,0,0,1,0,2,50,0
124,13343,13088,51,47,32,28,6,6,0,2,2,0,4194,546,4,2,0,0,0,4,0,0,1,0,3,70,0
125,12849,13539,46,49,34,39,6,6,1,0,2,0,3102,529,4,2,0,0,0,4,0,0,1,0,3,70,0
126,11015,10786,26,26,63,66,6,6,7,3,2,0,6402,198,10,2,0,0,0,10,0,0,2,0,8,180,0
127,13366,12975,45,46,38,41,6,6,1,3,2,0,3782,493,3,2,0,0,0,3,0,0,1,0,2,50,0
128,13216,13303,46,48,34,43,6,6,0,2,2,0,4839,624,3,2,0,0,0,3,0,0,1,0,2,50,0
